experiment_id,experiment,start_year,end_year,activity_id,tier,min_number_yrs_per_sim
1pctCO2,1 percent per year increase in CO2,,,CMIP,1,150
1pctCO2-4xext,extension from year 140 of 1pctCO2 with 4xCO2,,,ISMIP6,1,210
1pctCO2-bgc,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment,,,C4MIP,1,150
1pctCO2-cdr,1 percent per year decrease in CO2 from 4xCO2,,,CDRMIP,1,200
1pctCO2to4x-withism,simulation with interactive ice sheet forced by 1 percent per year increase in CO2 to 4xCO2 (subsequently held fixed),,,ISMIP6,1,350
abrupt-4xCO2,abrupt quadrupling of CO2,,,CMIP,1,150
amip,AMIP,1979,2014,CMIP,1,36
amip-4xCO2,AMIP SSTs with 4xCO2,1979,2014,CFMIP,1,36
amip-future4K,AMIP with patterned 4K SST increase,1979,2014,CFMIP,1,36
amip-hist,AMIP-style simulation covering the period 1870-2014,1870,2014,GMMIP,1,145
amip-p4K,AMIP with uniform 4K SST increase,1979,2014,CFMIP,1,36
aqua-4xCO2,aquaplanet with control SST and 4xCO2,,,CFMIP,1,10
aqua-control,aquaplanet control,,,CFMIP,1,10
aqua-p4K,aquaplanet with uniform 4K SST increase,,,CFMIP,1,10
dcppA-hindcast,hindcast initialized based on observations and using historical forcing,a year in the range 1960-2019,5 - 10 years after start year,DCPP,1,5
dcppB-forecast,forecast initialized from observations with forcing from ssp245,a year in the range 2017-2029,5 years after start year,DCPP,1,5
dcppC-amv-neg,Idealized climate impact of negative AMV anomaly pattern,,,DCPP,1,10
dcppC-amv-pos,Idealized climate impact of positive AMV anomaly pattern,,,DCPP,1,10
dcppC-atl-control,Idealized Atlantic control,,,DCPP,1,10
dcppC-forecast-addPinatubo,2015 forecast with added Pinatubo forcing,2014,5 - 10 years after start year,DCPP,1,5
dcppC-hindcast-noPinatubo,hindcast but with only background volcanic forcing to be the same as that used in the 2015 forecast,1990,5 - 10 years after start year,DCPP,1,5
dcppC-ipv-neg,idealized negative IPV anomaly pattern,,,DCPP,1,10
dcppC-ipv-pos,idealized positive IPV anomaly pattern,,,DCPP,1,10
dcppC-pac-control,idealized Pacific control,,,DCPP,1,10
deforest-globe,idealized transient global deforestation,,,LUMIP,1,81
esm-hist,all-forcing simulation of the recent past with atmospheric CO2 concentration calculated,1850,2014,CMIP,1,165
esm-pi-cdr-pulse,pulse removal of 100 Gt carbon from pre-industrial atmosphere,,,CDRMIP,1,100
esm-pi-CO2pulse,pulse addition of 100 Gt carbon to pre-industrial atmosphere,,,CDRMIP,1,100
esm-piControl,pre-industrial control simulation with CO2 concentration calculated,,,CMIP,1,500
esm-ssp585,emission-driven RCP8.5 based on SSP5,2015,2100,C4MIP,1,86
esm-ssp585-ssp126Lu,emissions-driven SSP5-8.5 with SSP1-2.6 land use,2015,2100,LUMIP,1,86
faf-heat,control plus perturbative surface flux of heat into ocean,,,FAFMIP,1,70
faf-stress,control plus perturbative surface flux of momentum into ocean,,,FAFMIP,1,70
faf-water,control plus perturbative surface flux of water into ocean,,,FAFMIP,1,70
G1,abrupt quadrupling of CO2 plus reduction in total solar irradiance,,,GeoMIP,1,100
G6solar,total solar irradiance reduction to reduce net forcing from SSP585 to SSP245,2020,2100,GeoMIP,1,81
